Difficulty,No. of Games,Wins,Losses,Win Rate(%),Avg. Win Time (ms),No. of Guesses,Avg. guesses in Win,Total Elapsed Time (ms)
BEGINNER,10000,8127,1873,81.27,367.2023367,23302,2.149501661,3979159.098
INTERMEDIATE,10000,6133,3867,61.33,624.9495917,31189,2.808413501,6479578.874
EXPERT,10000,1946,8054,19.46,922.0514402,44792,4.433695206,1.19E+07
