Difficulty,No. of Games,Wins,Losses,Win Rate(%),Avg. Win Time (ms),No. of Guesses,Avg. guesses in Win,Total Elapsed Time (ms)
BEGINNER,10000,6747,3253,67.47,0.42978209604268564,29719,2.6859344894026975,3399.184021
INTERMEDIATE,10000,3612,6388,36.120000000000005,5.579652231173865,42806,3.965393133997785,32497.754914
EXPERT,10000,85,9915,0.8500000000000001,24.31914551764706,53261,8.776470588235295,35351.218024
