Difficulty,No. of Games,Wins,Losses,Win Rate(%),Avg. Win Time (ms),No. of Guesses,Avg. guesses in Win,Total Elapsed Time (ms)
BEGINNER,8820,7921,899,89.80725624,111.6164862,15240,1.626183563,1008058.174
INTERMEDIATE,8410,6137,2273,72.97265161,242.8806319,20114,2.109988594,2041658.44
EXPERT,7918,2000,5918,25.25890376,2987.77778,32062,3.2,5780166.306
