difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,avg. guesses in win,total elapsed time (ms)
BEGINNER,8820,7921,899,89.80725624,111.6164862,15240,1.626183563,1008058.174
INTERMEDIATE,8409,6144,2265,73.06457367,294.3179892,19654,2.034667969,2525339.592
EXPERT,7918,2000,5918,25.25890376,15987.77778,32062,3.2,5780166.306
