difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,
BEGINNER,8845,7891,954,89.21424533634821,264.7471316563173,12844,
INTERMEDIATE,8468,6187,2281,73.06329711856401,753.3789711815097,12856,
EXPERT,7970,2052,5918,25.7465495608532,3376.8636305068226,7638,
