difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,avg. guesses per win,
BEGINNER,1000,689,311,68.89999999999999,113.16342801161103,1502,2.1799709724238028,
INTERMEDIATE,1000,302,698,30.2,7.506846688741722,1133,3.751655629139073,
EXPERT,1000,10,990,1.0,30.73854,80,8.0,
