difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,avg. guesses per win,
BEGINNER,1000,730,270,73.0,378.07906479452055,1612,2.208219178082192,
INTERMEDIATE,1000,478,522,47.8,1182.4161282426778,1103,2.307531380753138,
EXPERT,1000,140,860,14.000000000000002,3517.819524285714,496,3.5428571428571427,
