difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,avg. guesses in win,total elapsed time (ms),
BEGINNER,100,82,18,82.0,750.4877780487805,232,2.1463414634146343,70490.8525,
INTERMEDIATE,100,70,30,70.0,1038.9871157142857,368,2.6857142857142855,102983.1745,
EXPERT,100,26,74,26.0,2431.558119230769,478,4.038461538461538,373415.6944,
