difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,
BEGINNER,10000,6831,3169,68.31,0.7988660957400088,29760,
INTERMEDIATE,10000,3527,6473,35.27,9.364543379642756,42687,
EXPERT,10000,88,9912,0.88,41.71927613636364,54443,
