difficulty,no. of games,wins,loss,win (%),avg. win time (m/s),no. of guesses,
BEGINNER,10000,6793,3207,67.93,0.6180316649492125,19683,
INTERMEDIATE,10000,3553,6447,35.53,7.6078687306501545,32644,
EXPERT,10000,84,9916,0.84,30.86431904761905,44499,
